updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Scattering,,,,,,Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_1~_2~_5~_6,2,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Paul Farrow,,,,,REP,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,112,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Scattering,,,,,,Waukesha,"Town Of Delafield Wards 3, 4",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_3~_4,4,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Paul Farrow,,,,,REP,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,107,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Scattering,,,,,,Waukesha,"Town Of Delafield Wards 7, 8",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_7~_8,0,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Paul Farrow,,,,,REP,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,139,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Scattering,,,,,,Waukesha,"Town Of Delafield Wards 9, 10, 11",ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_delafield_wards_9~_10~_11,2,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Paul Farrow,,,,,REP,Waukesha,Town Of Genesee Wards 1-10,ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-10,427,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Scattering,,,,,,Waukesha,Town Of Genesee Wards 1-10,ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_genesee_wards_1-10,11,,,,False,2012
2019-06-10 19:42:57.935000,wi-2012-12-04-special-general,2012-12-04 00:00:00,2012-12-04 00:00:00,general,certified,True,State Senate,33,Paul Farrow,,,,,REP,Waukesha,Town Of Lisbon Ward 3,ocd-division/country:us/state:wi/county:waukesha/precinct:town_of_lisbon_ward_3,54,,,,False,2012
