updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,William M. Lennon,,,,,NP,Winnebago,Town Of Algoma Wards 1 - 12,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_algoma_wards_1_-_12,111,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Karen L. Seifert,,,,,NP,Winnebago,Town Of Algoma Wards 1 - 12,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_algoma_wards_1_-_12,311,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Scattering,,,,,,Winnebago,Town Of Algoma Wards 1 - 12,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_algoma_wards_1_-_12,1,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Len Kachinsky,,,,,NP,Winnebago,Town Of Black Wolf Wards 1 - 3,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_black_wolf_wards_1_-_3,29,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,William M. Lennon,,,,,NP,Winnebago,Town Of Black Wolf Wards 1 - 3,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_black_wolf_wards_1_-_3,44,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Karen L. Seifert,,,,,NP,Winnebago,Town Of Black Wolf Wards 1 - 3,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_black_wolf_wards_1_-_3,127,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Scattering,,,,,,Winnebago,Town Of Black Wolf Wards 1 - 3,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_black_wolf_wards_1_-_3,0,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Len Kachinsky,,,,,NP,Winnebago,Town Of Clayton Wards 1 - 4,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_clayton_wards_1_-_4,31,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,William M. Lennon,,,,,NP,Winnebago,Town Of Clayton Wards 1 - 4,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_clayton_wards_1_-_4,17,,,,False,2006
2019-06-10 19:25:50.247000,wi-2006-02-21-primary,2006-02-21 00:00:00,2006-02-21 00:00:00,primary,certified,False,"Winnebago County Circuit Court, Branch 4",,Karen L. Seifert,,,,,NP,Winnebago,Town Of Clayton Wards 1 - 4,ocd-division/country:us/state:wi/county:winnebago/precinct:town_of_clayton_wards_1_-_4,134,,,,False,2006
