updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Francis X. Sullivan,,,,,NP,Dane,Town Of Albion Wards 1 - 2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_albion_wards_1_-_2,25,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Ellen K. Berz,,,,,NP,Dane,Town Of Albion Wards 1 - 2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_albion_wards_1_-_2,47,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Scattering,,,,,,Dane,Town Of Albion Wards 1 - 2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_albion_wards_1_-_2,0,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Roger A. Allen,,,,,NP,Dane,Town Of Berry Wards 1-2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_berry_wards_1-2,34,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Francis X. Sullivan,,,,,NP,Dane,Town Of Berry Wards 1-2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_berry_wards_1-2,26,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Ellen K. Berz,,,,,NP,Dane,Town Of Berry Wards 1-2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_berry_wards_1-2,42,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Scattering,,,,,,Dane,Town Of Berry Wards 1-2,ocd-division/country:us/state:wi/county:dane/precinct:town_of_berry_wards_1-2,0,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Roger A. Allen,,,,,NP,Dane,Town Of Black Earth Ward 1,ocd-division/country:us/state:wi/county:dane/precinct:town_of_black_earth_ward_1,22,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Francis X. Sullivan,,,,,NP,Dane,Town Of Black Earth Ward 1,ocd-division/country:us/state:wi/county:dane/precinct:town_of_black_earth_ward_1,19,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Ellen K. Berz,,,,,NP,Dane,Town Of Black Earth Ward 1,ocd-division/country:us/state:wi/county:dane/precinct:town_of_black_earth_ward_1,28,,,,False,2012
2019-06-10 19:49:05.583000,wi-2012-02-21-primary,2012-02-21 00:00:00,2012-02-21 00:00:00,primary,certified,False,"Dane County Circuit Court, Branch 11",,Scattering,,,,,,Dane,Town Of Black Earth Ward 1,ocd-division/country:us/state:wi/county:dane/precinct:town_of_black_earth_ward_1,0,,,,False,2012
