updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joanne F. Kloppenburg,,,,,NP,Adams,Town Of Adams Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_1-2,48,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joe Donald,,,,,NP,Adams,Town Of Adams Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_1-2,5,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Scattering,,,,,,Adams,Town Of Adams Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_1-2,0,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Rebecca G. Bradley,,,,,NP,Adams,Town Of Adams Ward 3,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_3,1,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joanne F. Kloppenburg,,,,,NP,Adams,Town Of Adams Ward 3,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_3,3,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joe Donald,,,,,NP,Adams,Town Of Adams Ward 3,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_3,1,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Scattering,,,,,,Adams,Town Of Adams Ward 3,ocd-division/country:us/state:wi/county:adams/precinct:town_of_adams_ward_3,0,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Rebecca G. Bradley,,,,,NP,Adams,Town Of Big Flats Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_big_flats_ward_1-2,38,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joanne F. Kloppenburg,,,,,NP,Adams,Town Of Big Flats Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_big_flats_ward_1-2,35,,,,,2016
2018-07-15 19:33:04.485000,wi-2016-02-16-primary,2016-02-16 00:00:00,2016-02-16 00:00:00,primary,certified,False,Supreme Court,,Joe Donald,,,,,NP,Adams,Town Of Big Flats Ward 1-2,ocd-division/country:us/state:wi/county:adams/precinct:town_of_big_flats_ward_1-2,4,,,,,2016
