updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Roger M. Hillestad,,,,,IND,Dunn,Town Of Colfax Wards 1-3,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_colfax_wards_1-3,4,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Christina M. Mayer,,,,,IND,Dunn,Town Of Colfax Wards 1-3,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_colfax_wards_1-3,17,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Scattering,,,,,,Dunn,Town Of Colfax Wards 1-3,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_colfax_wards_1-3,0,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,James M. Peterson,,,,,IND,Dunn,Town Of Dunn Wards 1-2,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_dunn_wards_1-2,22,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Roger M. Hillestad,,,,,IND,Dunn,Town Of Dunn Wards 1-2,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_dunn_wards_1-2,19,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Christina M. Mayer,,,,,IND,Dunn,Town Of Dunn Wards 1-2,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_dunn_wards_1-2,28,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Scattering,,,,,,Dunn,Town Of Dunn Wards 1-2,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_dunn_wards_1-2,0,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,James M. Peterson,,,,,IND,Dunn,Town Of Eau Galle Ward 1,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_eau_galle_ward_1,8,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Roger M. Hillestad,,,,,IND,Dunn,Town Of Eau Galle Ward 1,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_eau_galle_ward_1,6,,,,,2014
2018-07-15 21:31:02.751000,wi-2014-02-18-primary,2014-02-18 00:00:00,2014-02-18 00:00:00,primary,certified,False,"Dunn County Circuit Court, Branch 1",,Christina M. Mayer,,,,,IND,Dunn,Town Of Eau Galle Ward 1,ocd-division/country:us/state:wi/county:dunn/precinct:town_of_eau_galle_ward_1,13,,,,,2014
